"x","2000    ","          ","Previous Year                 ",-56.2,0
"x","07/27/01","          ","                              ",0,45
"x","07/30/01","          ","                              ",0,150
"x","        ","1257      ","Kohls                         ",11.83,0
"x","08/01/01","1258      ","Cream City PC                 ",41.03,0
"x","        ","1259      ","Pharmacy                      ",11.59,0
"x","08/06/01","          ","Sylvia Rent                   ",0,250
"x","        ","          ","Mannion                       ",0,75
"x","        ","          ","Dog Sit For Mannion           ",0,15
"x","        ","          ","Sylvia Loan                   ",0,30
"x","08/06/01","1260      ","Rent                          ",500,0
"x","08/15/01","1261      ","Pharmacy                      ",10.09,0
"x","08/14/01","1262      ","                              ",42.16,0
"x","08/14/01","          ","Rent                          ",0,590.03
"x","08/13/01","          ","Mannion                       ",20,75
"x","08/20/01","1263      ","Ameritech                     ",43.63,0
"x","08/18/01","1264      ","Old Electric                  ",99.2,0
"x","08/17/01","1265      ","Cash R                        ",50,0
"x","        ","          ","                              ",250,250
"x","08/21/01","1266      ","MATC                          ",278.47,0
"x","        ","          ","Sylvia Loan                   ",50,50
"x","        ","          ","Sylvia Loan                   ",30,30
"x","08/23/01","1267      ","Cash                          ",50,0
"x","08/29/01","1268      ","Pharmacy                      ",11.59,0
"x","08/28/01","1269      ","Pick & Save                   ",28.52,0
"x","08/28/01","1270      ","Pick & Save                   ",16.07,0
"x","08/31/01","          ","Mannion                       ",0,150
"x","08/29/01","          ","Federal Tax Return            ",0,781
"x","09/02/01","1271      ","Rent                          ",500,0
"x","09/03/01","1272      ","Cash                          ",100,0
"x","        ","1273      ","Pharmacy                      ",11.59,0
"x","09/06/01","          ","Mannion                       ",30,75
"x","09/14/01","1274      ","Cash                          ",50,0
"x","09/19/01","          ","George VA                     ",0,70
"x","09/17/01","          ","Mannion                       ",50,150
"x","09/20/01","1275-0003 ","City of Milwaukee             ",30,0
"x","09/20/01","1276      ","Electric and Gas              ",55.32,0
"x","09/20/01","1277      ","Ameritech                     ",19.51,0
"x","09/21/01","          ","Mannion                       ",35,75
"x","10/01/01","1278      ","Pick & Save                   ",12.98,0
"x","10/02/01","1279      ","Cash                          ",25,0
"x","10/05/01","1280      ","Sylvia                        ",20,0
"x","10/01/01","1281      ","Rent                          ",500,0
"x","10/31/01","1282      ","Cash                          ",40,0
"x","10/26/01","1283      ","Pharmacy                      ",12.23,0
"x","11/02/01","1284      ","Industrial Electronics        ",11.1,0
"x","10/30/01","1285      ","Walgreens                     ",9.43,0
"x","10/31/01","1286      ","City of Milwaukee             ",15,0
"x","10/31/01","1287      ","Rent                          ",500,0
"x","11/02/01","1288      ","Kohls                         ",6.58,0
"x","11/04/01","1289      ","Pick & Save                   ",20.42,0
"x","09/21/01","9999      ","Cash                          ",30,0
